"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2522609","Xi  Ge","","","","Dictionary-based Query Recommendation for Local Code Search","103--104","","2","feature location, recommendation, search, tool","10.1145/2508075.2522609","","","","","","","2013","","Proceedings of the 2013 Companion Publication for Conference on Systems, Programming, &#38; Applications: Software for Humanity","SPLASH '13","","978-1-4503-1995-9","Indianapolis, Indiana, USA","ACM","New York, NY, USA"
"article","2508089","Xi  Ge","","","","Dictionary-based Query Recommendation for Local Code Search","77--78","","2","feature location, recommendation, search, tool","10.1145/2508075.2508089","","","","","","","2013","","Proceedings of the 2013 Companion Publication for Conference on Systems, Programming, &#38; Applications: Software for Humanity","SPLASH '13","","978-1-4503-1995-9","Indianapolis, Indiana, USA","ACM","New York, NY, USA"
"article","1985438","Oleksandr  Panchenko and Hasso  Plattner and Alexander  Zeier","","","","What Do Developers Search for in Source Code and Why","33--36","","4","development activities, log file analysis, source code search","10.1145/1985429.1985438","","","","","","","2011","","Proceedings of the 3rd International Workshop on Search-Driven Development: Users, Infrastructure, Tools, and Evaluation","SUITE '11","","978-1-4503-0597-6","Waikiki, Honolulu, HI, USA","ACM","New York, NY, USA"
"article","3078841","Chris  Mills and Gabriele  Bavota and Sonia  Haiduc and Rocco  Oliveto and Andrian  Marcus and Andrea De Lucia","","","","Predicting Query Quality for Applications of Text Retrieval to Software Engineering Tasks","3:1--3:45","3","45","Text retrieval, artifact traceability, concept location","10.1145/3078841","ACM Trans. Softw. Eng. Methodol.","July 2017","26","1","","May","2017","1049-331X","","","","","","ACM","New York, NY, USA"
"article","2486991","Sonia  Haiduc and Giuseppe  De Rosa and Gabriele  Bavota and Rocco  Oliveto and Andrea  De Lucia and Andrian  Marcus","","","","Query Quality Prediction and Reformulation for Source Code Search: The Refoqus Tool","1307--1310","","4","","","","","","","","","2013","","Proceedings of the 2013 International Conference on Software Engineering","ICSE '13","","978-1-4673-3076-3","San Francisco, CA, USA","IEEE Press","Piscataway, NJ, USA"
"article","1176671","Sushil  Bajracharya and Trung  Ngo and Erik  Linstead and Yimeng  Dou and Paul  Rigor and Pierre  Baldi and Cristina  Lopes","","","","Sourcerer: A Search Engine for Open Source Code Supporting Structure-based Search","681--682","","2","code rank, source code search","10.1145/1176617.1176671","","","","","","","2006","","Companion to the 21st ACM SIGPLAN Symposium on Object-oriented Programming Systems, Languages, and Applications","OOPSLA '06","","1-59593-491-X","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","2351690","Sonia  Haiduc and Gabriele  Bavota and Rocco  Oliveto and Andrea  De Lucia and Andrian  Marcus","","","","Automatic Query Performance Assessment During the Retrieval of Software Artifacts","90--99","","10","Query performance, concept location, text retrieval","10.1145/2351676.2351690","","","","","","","2012","","Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering","ASE 2012","","978-1-4503-1204-2","Essen, Germany","ACM","New York, NY, USA"
"article","1985433","Sumit  Bhatia and Suppawong  Tuarob and Prasenjit  Mitra and C. Lee Giles","","","","An Algorithm Search Engine for Software Developers","13--16","","4","algorithm search, pseudo-code search","10.1145/1985429.1985433","","","","","","","2011","","Proceedings of the 3rd International Workshop on Search-Driven Development: Users, Infrastructure, Tools, and Evaluation","SUITE '11","","978-1-4503-0597-6","Waikiki, Honolulu, HI, USA","ACM","New York, NY, USA"
"article","2591117","Katja  Kevic and Thomas  Fritz","","","","Automatic Search Term Identification for Change Tasks","468--471","","4","Initial search, change task, heuristic, search term","10.1145/2591062.2591117","","","","","","","2014","","Companion Proceedings of the 36th International Conference on Software Engineering","ICSE Companion 2014","","978-1-4503-2768-8","Hyderabad, India","ACM","New York, NY, USA"
"article","1378893","Sulieman A. Bani-Ahmad and Gultekin  Ozsoyoglu","","","","On Content-driven Search-keyword Suggesters for Literature Digital Libraries","21--24","","4","literature digital libraries, search-keyword suggester","10.1145/1378889.1378893","","","","","","","2008","","Proceedings of the 8th ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '08","","978-1-59593-998-2","Pittsburgh PA, PA, USA","ACM","New York, NY, USA"
