Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A pipelined query processor for distributed multi-databases,Chung-Min Chen; Ruibiao Qiu; N. Rishe,"Sch. of Comput. Sci., Florida Int. Univ., Miami, FL, USA; NA; NA",Proceedings IEEE Southeastcon '98 'Engineering for a New Era',,1998,,,132,133,,,,10.1109/SECON.1998.673310,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=673310,,Relational databases;Pipeline processing;Database languages;Resource management;Computer science;Distributed databases;Local area networks;Query processing;Communication standards;Delay,pipeline processing;relational databases;distributed databases;query processing,pipelined query processor;distributed multi-databases;pipelined processing;autonomous relational databases,,,,,,,,,,IEEE,IEEE Conferences
Automatic text categorization and its application to text retrieval,Wai Lam; M. Ruiz; P. Srinivasan,"Dept. of Syst. Eng. & Eng. Manage., Chinese Univ. of Hong Kong, Shatin, Hong Kong; NA; NA",IEEE Transactions on Knowledge and Data Engineering,,1999,11,6,865,879,,,,10.1109/69.824599,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=824599,,Text categorization;Testing;Information retrieval;Classification tree analysis;Cardiac disease;Feedback;Databases;Performance analysis;Query processing;Humans,information retrieval,automatic text categorization;text retrieval;learning paradigm;instance-based learning;document retrieval technique;retrieval feedback;real-world document collections;MEDLINE database;retrieval quality;detailed analysis,,,,,,,,,,IEEE,IEEE Journals & Magazines
Efficient processing of location-cloaked queries,P. Galdames; Y. Cai,"Department of Computer Science, Iowa State University, Ames, 50011, USA; Department of Computer Science, Iowa State University, Ames, 50011, USA",2012 Proceedings IEEE INFOCOM,,2012,,,2480,2488,,,,10.1109/INFCOM.2012.6195639,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6195639,Location cloaking;query processing;scheduling;air indexing,Servers;Indexing;Schedules;Query processing;Measurement;Batteries,data privacy;mobile computing;query processing,location-cloaked queries;location-based services;circular geographic region;rectangular geographic region;privacy protection;query processing;LCQ,,,,,,,,,,IEEE,IEEE Conferences
Exemplar: EXEcutable exaMPLes ARchive,M. Grechanik; C. Fu; Q. Xie; C. McMillan; D. Poshyvanyk; C. Cumby,"Accenture Technology Labs, Chicago, IL; Accenture Technology Labs, Chicago, IL; Accenture Technology Labs, Chicago, IL; The College of William and Mary, Williamsburg, VA; The College of William and Mary, Williamsburg, VA; Accenture Technology Labs, Chicago, IL",2010 ACM/IEEE 32nd International Conference on Software Engineering,,2010,2,,259,262,,,,10.1145/1810295.1810347,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062174,,Search engines;Software;Java;Engines;Cryptography;Documentation,natural language processing;program diagnostics;query processing;search engines,code search engine;Exemplar;executable example archive;natural language query;information retrieval;program analysis techniques,,,,,,,,,,IEEE,IEEE Conferences
TIIS: A two-level inverted-index scheme for large-scale data processing in the parallel database system,Lei Yu; Ge Fu; Huaiyuan Tan; Yan Jin; Hong Zhang; Xinran Liu; Xiaojia Xiang,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; National Computer Network Emergency Response Technical Team / Coordination Center of China, Beijing, China; Changan Communication Technology Co., Ltd., Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; National Computer Network Emergency Response Technical Team / Coordination Center of China, Beijing, China; National Computer Network Emergency Response Technical Team / Coordination Center of China, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China","Proceedings 2013 International Conference on Mechatronic Sciences, Electric Engineering and Computer (MEC)",,2013,,,2540,2547,,,,10.1109/MEC.2013.6885464,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6885464,parallel database;query optimization;full text retrieval;inverted index,Indexes;Middleware;Query processing;Distributed databases;Text analysis,data analysis;database indexing;middleware;parallel databases;query processing;text analysis,two-level inverted-index scheme;large-scale data processing;parallel database system;parallel database middleware;semistructured data;text retrieval;TIIS;full-text query;large cluster distributed database;network I/O reduction;disk I/O reduction;Hive;Hadoop distributed file system;TPC-H data analysis,,,,,,,,,,IEEE,IEEE Conferences
Fuzzy logic and multiobjective evolutionary algorithms as soft computing tools for persistent query learning in text retrieval environments,O. Cordon; F. de Moya; C. Zarco,"Dept. of Comput. Sci. & A.I., Granada Univ., Spain; Dept. of Comput. Sci. & A.I., Granada Univ., Spain; NA",2004 IEEE International Conference on Fuzzy Systems (IEEE Cat. No.04CH37542),,2004,1,,571,576 vol.1,,,,10.1109/FUZZY.2004.1375799,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1375799,,Fuzzy logic;Evolutionary computation;Information retrieval;Database languages;Computer science;Inference algorithms;Information filtering;Information filters;Routing;Context-aware services,fuzzy logic;evolutionary computation;query processing;Boolean functions;knowledge engineering,text retrieval environment;soft computing tools;multiobjective evolutionary algorithms;persistent query learning;information retrieval systems;fuzzy logic;extended Boolean query structure,,,,,,,,,,IEEE,IEEE Conferences
Block linked list index structure for large data full text retrieval,Y. Yang; H. Ning,"Tianjin Key Laboratory of Intelligence Computing & New Software Technology, Tianjin University of Technology, 300384, Tianjin, China; Tianjin Key Laboratory of Intelligence Computing & New Software Technology, Tianjin University of Technology, 300384, Tianjin, China","2017 13th International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery (ICNC-FSKD)",,2017,,,2123,2128,,,,10.1109/FSKD.2017.8393099,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8393099,full text search;large data;incremental index;block linked list index structure,Data structures;Indexing;Memory;Periodic structures;Computational efficiency;Fuzzy systems,data structures;indexing;Internet;query processing;text analysis,data structure;traditional inverted index structure;block linked-list index structure;block unit;index linked-list maps;index expansion;terms;master index file;document index file;incremental index update;index algorithm;initial datasets index creation;Chinese full-text retrieval,,,,,,,,,,IEEE,IEEE Conferences
Efficient Visual Search of Videos Cast as Text Retrieval,J. Sivic; A. Zisserman,"INRIA, WILLOW Project-Team, CNRS/ENS/INRIA UMR, France; University of Oxford, Oxford",IEEE Transactions on Pattern Analysis and Machine Intelligence,,2009,31,4,591,606,,,,10.1109/TPAMI.2008.111,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4509438,Object recognition;Image/video retrieval;Object recognition;Image/video retrieval,Videos;Image retrieval;Lighting;Text recognition;Image databases;Nearest neighbor searches;File systems;Frequency;Motion pictures;Internet,object recognition;query processing;text analysis;video retrieval,visual search;object retrieval;query image;statistical text retrieval;inverted file systems;document frequency weightings;vector quantizing;region descriptors;frame matching,,,,,,,,,,IEEE,IEEE Journals & Magazines
Models for extensible multimedia document retrieval,B. Milosavljevic,"Fac. of Eng., Novi Sad Univ., Serbia",IEEE Sixth International Symposium on Multimedia Software Engineering,,2004,,,218,221,,,,10.1109/MMSE.2004.52,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1376664,,Information retrieval;Multimedia systems;Content based retrieval;Image retrieval;XML;Document handling;Genomics;Bioinformatics;X-ray imaging;Prototypes,query formulation;information retrieval systems;multimedia databases;XML,extensible multimedia document retrieval system;query formulation;formal definitions;Boolean model;query expressiveness,,,,,,,,,,IEEE,IEEE Conferences
The Research and Design of the Semantic Search Engine Based on Ontology,Q. Yong; H. Peijie; H. Yu; Q. Ya-nan,NA; NA; NA; NA,"Third International Conference on Semantics, Knowledge and Grid (SKG 2007)",,2007,,,610,611,,,,10.1109/SKG.2007.124,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4438646,,Search engines;Ontologies;Vocabulary;Concrete;Computer science;Design engineering;Knowledge engineering;Paper technology;Frequency;Information analysis,ontologies (artificial intelligence);query processing;search engines;semantic Web,semantic search engine;ontology;semantic processing;semantic understanding;text retrieval;query processing,,,,,,,,,,IEEE,IEEE Conferences
Red Brick Vista/sup TM/: aggregate computation and management,L. S. Colby; R. L. Cole; E. Haslam; N. Jazayeri; G. Johnson; W. J. McKenna; L. Schumacher; D. Wilhite,"Red Brick Syst. Inc., Los Gatos, CA, USA; NA; NA; NA; NA; NA; NA; NA",Proceedings 14th International Conference on Data Engineering,,1998,,,174,177,,,,10.1109/ICDE.1998.655773,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=655773,,Aggregates;Relational databases;Marketing and sales;Query processing;Data warehouses;Multidimensional systems;Navigation;Performance gain;Knowledge management;Information analysis,very large databases,Red Brick Vista;decision support applications;aggregate query processing;large data warehouses;precomputation;aggregate query processing problem;precomputed aggregates;Red Brick aggregate computation;management system;server integrated solution,,,,,,,,,,IEEE,IEEE Conferences
Dynamic Query Forms for Database Queries,L. Tang; T. Li; Y. Jiang; Z. Chen,"School of Computer Science, Florida International University, Miami, FL, USA; School of Computer Science, Florida International University, Miami, FL, USA; School of Computer Science, Florida International University, Miami, FL, USA; Department of Information Systems, University of Maryland Baltimore County, Baltimore, MD, USA",IEEE Transactions on Knowledge and Data Engineering,,2014,26,9,2166,2178,,,,10.1109/TKDE.2013.62,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6506080,Information Technology and Systems;Database Management;Database Applications;Miscellaneous;Dynamic Query Form;Query form;user interaction;query form generation,Databases;Radio frequency;Power capacitors;Measurement;User interfaces;Search engines;Negative feedback,query formulation;query processing;user interfaces,dynamic query forms;DQF;database query form interface;query forms generation;user preference;query form components ranking;iterative process;ranking lists;F-measure;query form goodness measurement;probabilistic model,,,,,,,,,,IEEE,IEEE Journals & Magazines
Poster: Analysis of gene ranking algorithms with extraction of relevant biomedical concepts from PubMed publications,S. Kocbek; R. Sætre; G. Stiglic; J. Kim; I. Pernek; Y. Tsuruoka; P. Kokol; S. Ananiadou; J. Tsujii,"Faculty of Health Sciences, University of Maribor, Slovenia; Dep. of Computer Science, University of Tokyo, Japan; Faculty of Health Sciences, University of Maribor, Slovenia; Dep. of Computer Science, University of Tokyo, Japan; Faculty of Health Sciences, University of Maribor, Slovenia; School of Information Science, JAIST Ishikawa, Japan; Faculty of Health Sciences, University of Maribor, Slovenia; National Centre for Text Mining (NaCTeM), Manchester UK; Dep. of Computer Science, University of Tokyo, Japan",2011 IEEE 1st International Conference on Computational Advances in Bio and Medical Sciences (ICCABS),,2011,,,249,249,,,,10.1109/ICCABS.2011.5729902,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5729902,,Bioinformatics;Algorithm design and analysis;Stability analysis;Search engines;Diseases;Computers;Biomedical measurements,genetics;genomics;medical computing;query formulation,gene ranking algorithms;PubMed;AGRA;analysis of gene ranking algorithms;FACTA;MEDLINE abstracts;biomedical concepts;search query;feature selection,,,,,,,,,,IEEE,IEEE Conferences
Performance modeling in CUDA streams — A means for high-throughput data processing,H. Li; D. Yu; A. Kumar; Y. Tu,"Department of Computer Science and Engineering, University of South Florida 4202 E. Fowler Ave., ENB118, Tampa, FL 33620, U.S.A.; Department of Computer Science and Engineering, University of South Florida 4202 E. Fowler Ave., ENB118, Tampa, FL 33620, U.S.A.; Department of Computer Science and Engineering, University of South Florida 4202 E. Fowler Ave., ENB118, Tampa, FL 33620, U.S.A.; Department of Computer Science and Engineering, University of South Florida 4202 E. Fowler Ave., ENB118, Tampa, FL 33620, U.S.A.",2014 IEEE International Conference on Big Data (Big Data),,2014,,,301,310,,,,10.1109/BigData.2014.7004245,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7004245,push-based systems;DBMS;GPU;GPGPU;CUDA;CUDA stream,Kernel;Graphics processing units;Instruction sets;Registers;Computational modeling;Runtime;Processor scheduling,parallel architectures;performance evaluation;query processing;relational databases;resource allocation,high-throughput data processing software;push-based database management system;data streams;concurrent query operators;computing power;query engine;push-based DBMS;concurrent processing;heterogenous query processing operations;resource allocation;resource consumption;NVIDIA CUDA framework;system implementation platform;performance modeling;runtime mechanism;resource occupancy;compute-bound kernels;CUDA stream mechanism;main kernel scheduling disciplines;synthetic CUDA kernels;real-world CUDA kernels;G-SDMS,,,,,,,,,,IEEE,IEEE Conferences
Quranic texts retrieval in Indri,R. Othman; F. A. Wahid,"Kulliyyah of Information and Communication Technology International Islamic University Malaysia (IIUM) P.O. Box 10,50728 Kuala Lumpur, Wilayah Persekutuan, Malaysia; Faculty of Science and Technology Universiti Sains Islam Malaysia (USIM) Bandar Baru Nilai, 71800 Nilai, Negeri Sembilan, Malaysia",The 5th International Conference on Information and Communication Technology for The Muslim World (ICT4M),,2014,,,1,4,,,,10.1109/ICT4M.2014.7020619,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7020619,Quranic texts;texts retrieval;Indri,Decision support systems,humanities;natural language processing;query processing;relevance feedback;text analysis,Quranic text translation;Pimpinan Ar-Rahman;Jawi Malay;Rumi Malay language;letter scripting;query formulation;frequently-asked questions;Muslim scholars;authenticated printed sources;Utusan Melayu newspaper;Jawi Malay queries;Berita Harian newspaper;Rumi Malay queries;Indri retrieval;matching process;Ayat list;relevance judgement process;human judges;FAQ topic relevancy;Ayat relevancy;retrieval accuracy verification;data analysis;precision measure;recall measure;overlap measure;multiscript Quranic text retrieval handling,,,,,,,,,,IEEE,IEEE Conferences
Development and assessment of bioinformatics tools for species conservation and habitat management,M. A. Sutton; L. Deneke; J. Eme; W. Bennett; F. Wray,"Dept. of Biol., Univ. of West Florida, Pensacola, FL, USA; Dept. of Biol., Univ. of West Florida, Pensacola, FL, USA; Dept. of Biol., Univ. of West Florida, Pensacola, FL, USA; Dept. of Biol., Univ. of West Florida, Pensacola, FL, USA; Dept. of Biol., Univ. of West Florida, Pensacola, FL, USA",Computational Systems Bioinformatics. CSB2003. Proceedings of the 2003 IEEE Bioinformatics Conference. CSB2003,,2003,,,654,655,,,,10.1109/CSB.2003.1227435,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1227435,,Bioinformatics;Biology computing;Biological systems;Mice;Marine animals;Data mining;Computational intelligence;Deductive databases;Spatial databases;Visual databases,query processing;query languages;data mining;biology computing;visual databases;spatial reasoning,integrating computational methods;knowledge-discovery process;biological systems;sensitive habitats;beach mouse communities;marginal fish habitats;data mining;query databases;broad patterns;data interpretation;visualization technique;context skills;perceptual cues;spatial reasoning skills;species diversity;community composition;bioinformatics tools;species conservation;habitat management,,,,,,,,,,IEEE,IEEE Conferences
Network-aware stream query processing in mobile ad-hoc networks,D. O'Keeffe; T. Salonidis; P. Pietzuch,"Imperial College London, UK; IBM T.J. Watson Research Center, USA; Imperial College London, UK",MILCOM 2015 - 2015 IEEE Military Communications Conference,,2015,,,1335,1340,,,,10.1109/MILCOM.2015.7357630,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7357630,,Mobile computing;Ad hoc networks;Planning;Routing;Data models;Heuristic algorithms;Adaptive systems,centralised control;decision support systems;mobile ad hoc networks;query processing;telecommunication computing;telecommunication network topology,network path conditions;operator replicas;path diversity;windowed stream query operators;stream query planning;fixed query plan;network topology;distributed bandwidth-constrained nature;centralized control;target data center environments;distributed stream query execution;limited backend connectivity;MANET;tactical edge networks;data stream management model;time-varying data streams;continuous stream queries;sensing applications;real-time decision support applications;mobile ad-hoc networks;network-aware stream query processing,,,,,,,,,,IEEE,IEEE Conferences
Enterprise text processing: a sparse matrix approach,N. Goharian; T. El-Ghazawi; D. Grossman,"Illinois Inst. of Technol., Chicago, IL, USA; NA; NA",Proceedings International Conference on Information Technology: Coding and Computing,,2001,,,71,75,,,,10.1109/ITCC.2001.918768,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=918768,,Text processing;Sparse matrices;Information retrieval;Compression algorithms;Scalability;NIST;Query processing;Feedback;Web sites;Books,text analysis;sparse matrices;matrix multiplication;vectors;information retrieval;parallel algorithms;data compression,enterprise text processing;document retrieval;sparse matrix-vector multiplication;text storage;text retrieval;parallel algorithms;parallel information retrieval;sparse matrix compression algorithms;NIST TREC corpus;inverted index;query processing;relevance feedback;proximity search;experiment,,,,,,,,,,IEEE,IEEE Conferences
Plausible Deniability for ISP Log and Browser Suggestion Obfuscation with a Phrase Extractor on Potentially Open Text,R. Loui,NA,"2017 IEEE 15th Intl Conf on Dependable, Autonomic and Secure Computing, 15th Intl Conf on Pervasive Intelligence and Computing, 3rd Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)",,2017,,,276,279,,,,10.1109/DASC-PICom-DataCom-CyberSciTec.2017.58,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8328401,browser log privacy;TRACKMENOT;obfuscation;plausible deniability;disinformation;concealing user behavior;ISP logs;user profiling;ad services;analytics,Organizations;Big Data;Buildings;Global communication;Semantics;Heating systems;Two dimensional displays,data privacy;Internet;online front-ends;query processing;text analysis,user profiling analytics;plausible deniability;browser suggestion obfuscation;potentially open text;browser users;embarrassing circumstances;URL;dynamic calls;suggested text completions;open seed text;part-of-speech informed phrase extractor;generative grammar;search-term sequences;realistic searches;AI-NLP part-of-speech informed phrase extractor,,,,,,,,,,IEEE,IEEE Conferences
"SEMCOG: a hybrid object-based image database system and its modeling, language, and query processing",Wen-Syan Li; K. Selcuk Candan,"C&C Res. Labs., NEC USA Inc., San Jose, CA, USA; NA",Proceedings 14th International Conference on Data Engineering,,1998,,,284,291,,,,10.1109/ICDE.1998.655788,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=655788,,Image databases;Query processing;Image retrieval;National electric code;Database languages;Image matching;Laboratories;Merging;Navigation;Engineering drawings,visual databases,SEMCOG;semantic expressions;cognition-based image retrieval;hybrid object-based image database system;database modeling;database language;query processing;compound object;sub-objects;image regions;hierarchical structure;image modeling;visual examples;object-level information;multimedia query language;database implementation;similarity merging;query criteria,,,,,,,,,,IEEE,IEEE Conferences
Segmental Analysis and Evaluation of User Focused Search Process,C. Hendahewa; C. Shah,NA; NA,2013 12th International Conference on Machine Learning and Applications,,2013,1,,291,294,,,,10.1109/ICMLA.2013.59,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6784629,Exploratory search;Evaluation;Sequence Analysis;Time Series Analysis,Predictive models;Search problems;Logistics;Time series analysis;Time measurement;Educational institutions;Recommender systems,information filtering;information retrieval system evaluation;performance evaluation;query formulation;query processing;relevance feedback;time series,user focused search process;IR systems;query suggestions;pseudorelevance feedback;information objects;information seeking;search process-based analysis;time series analysis;user search performance evaluation;query recommendation strategy;information retrieval systems,,,,,,,,,,IEEE,IEEE Conferences
Spoken Content Retrieval—Beyond Cascading Speech Recognition with Text Retrieval,L. Lee; J. Glass; H. Lee; C. Chan,"National Taiwan University, Taiwan; MIT, United States; National Taiwan University, Taiwan; Google, Taiwan","IEEE/ACM Transactions on Audio, Speech, and Language Processing",,2015,23,9,1389,1420,,,,10.1109/TASLP.2015.2438543,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7114229,Spoken content retrieval;spoken term detection;query by example;semantic retrieval;joint optimization;pseudo-relevance feedback;graph-based random walk;unsupervised acoustic pattern discovery;query expansion;interactive retrieval;summarization;key term extraction,Speech;Speech recognition;Multimedia communication;Speech processing;Accuracy;Acoustics;Indexing,acoustic signal processing;content-based retrieval;indexing;interactive systems;multimedia systems;speech recognition,spoken content retrieval;cascading automatic speech recognition;spoken content indexing;audio;multimedia content;ASR;text information retrieval;lattice format;speech signals;phonemes;acoustic level;spoken queries;signal matching;interactive retrieval;retrieved object presentation,,,,,,,,,,IEEE,IEEE Journals & Magazines
Theme-Weighted Ranking of Keywords from Text Documents Using Phrase Embeddings,D. Mahata; R. R. Shah; J. Kuriakose; R. Zimmermann; J. R. Talburt,NA; NA; NA; NA; NA,2018 IEEE Conference on Multimedia Information Processing and Retrieval (MIPR),,2018,,,184,189,,,,10.1109/MIPR.2018.00041,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8396997,keyword extraction;page rank;phrase embedding;summarization,Training;Task analysis;Encyclopedias;Electronic publishing;Internet;Machine learning,data mining;information retrieval;learning (artificial intelligence);natural language processing;text analysis,text documents;natural language processing;multiword phrases;neural phrase embeddings;ranked keyword extraction;keyword extraction;embedding model;theme-weighted ranking;keyword ranking;phrase embeddings,,,,,,,,,,IEEE,IEEE Conferences
JIRiSS - an Eclipse plug-in for Source Code Exploration,D. Poshyvanyk; A. Marcus; Yubo Dong,Wayne State University; NA; NA,14th IEEE International Conference on Program Comprehension (ICPC'06),,2006,,,252,255,,,,10.1109/ICPC.2006.32,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631130,,Software tools;Information retrieval;Java;Indexing;Natural languages;Documentation;Search engines;Software systems;Computer science;Vocabulary,information retrieval;Java;program testing;software tools,JIRiSS;Eclipse;source code exploration;information retrieval method;software search;Java;software exploration tool;natural language queries;software vocabulary;query formulation;fragment-based search,,,,,,,,,,IEEE,IEEE Conferences
An Implementation of Substructure Search in Chemical DataBase Management System,K. Pan; R. Zhang; H. Sun; L. Luo,NA; NA; NA; NA,2008 International Multi-symposiums on Computer and Computational Sciences,,2008,,,203,206,,,,10.1109/IMSCCS.2008.18,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4760325,,Database systems;Chemistry;Data engineering;Linear code;Search problems;Information systems;Chemical engineering;Sun;Open source software;Computer science education,chemical structure;chemistry computing;database management systems;molecular configurations;multi-threading;query processing;software packages,chemical database management system;chemical substructure search;molecule 2D substructure query;molecular linear code;SMARTS;file-filter method;multi threading;ChemDataBase;computational chemistry;chemistry development kit;CDK package,,,,,,,,,,IEEE,IEEE Conferences
An effective content-based image retrieval from huge datbase sets,S. GunaNandhini; M. M. Nagendran,"Dept of Computer Science and Engineering, Sri Venkateshwara Institute of Science and Technology, Thiruvallur; Dept of Computer Science and Engineering, Sri Venkateshwara Institute of Science and Technology, Thiruvallur",2016 International Conference on Information Communication and Embedded Systems (ICICES),,2016,,,1,4,,,,10.1109/ICICES.2016.7518880,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7518880,Ranking;Ontology;Data Mining,Image retrieval;Ontologies;Visualization;Global Positioning System;Search engines;Semantics;Servers,content-based retrieval;data mining;data protection;image retrieval;ontologies (artificial intelligence);search engines;visual databases,content-based image retrieval;huge-database sets;image search;query processing;content concept;location concept;user locations;GPS;user preference;ontology;semantic meaning;image based search sorting;search engine;local clickthrough data storage;local clickthrough data collection;user privacy protection,,,,,,,,,,IEEE,IEEE Conferences
InfoPlanet: Visualizing a semantic web to improve search results through exploration and discovery,Laura Dan Li,"University of Washington, USA",2012 IEEE International Professional Communication Conference,,2012,,,1,7,,,,10.1109/IPCC.2012.6408597,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6408597,Search engines;semantic web;user interaction;web search,Semantics;Search engines;Web search;Visualization;Knowledge based systems;Color;Data visualization,data visualisation;ontologies (artificial intelligence);query processing;search engines;semantic Web;user interfaces,InfoPlanet;semantic Web;semantic relationships;dictionary;search term;ontology;visual display;optimized user interface;knowledge base information;lexical database;commonsense reasoning system;meta-search module;semantic search;search query,,,,,,,,,,IEEE,IEEE Conferences
Secure top-k query processing via untrusted location-based service providers,R. Zhang; Y. Zhang; C. Zhang,"School of Electrical, Computer, and Energy Engineering, Arizona State University, Tempe, 85287-5706, USA; School of Electrical, Computer, and Energy Engineering, Arizona State University, Tempe, 85287-5706, USA; School of Information Science and Technology, University of Science of Technology of China, Hefei, Anhui 230027, China",2012 Proceedings IEEE INFOCOM,,2012,,,1170,1178,,,,10.1109/INFCOM.2012.6195476,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6195476,,Lead,groupware;Internet;mobile computing;query processing;security of data;trusted computing,untrusted location-based service provider;secure top-k query processing;distributed system;collaborative location-based information generation;collaborative location-based information sharing;Internet capable devices;location-aware mobile devices;data collector;data contributors;point of interest;LBSP;POI data sets,,,,,,,,,,IEEE,IEEE Conferences
Data Intensive Query Processing for Large RDF Graphs Using Cloud Computing Tools,M. F. Husain; L. Khan; M. Kantarcioglu; B. Thuraisingham,NA; NA; NA; NA,2010 IEEE 3rd International Conference on Cloud Computing,,2010,,,1,10,,,,10.1109/CLOUD.2010.36,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5558142,RDF;Hadoop;Cloud;Semantic Web,Resource description framework;Cloud computing;Distributed databases;Data mining;Data models;Ontologies,distributed processing;query languages;query processing;semantic Web,data intensive query processing;RDF graphs;cloud computing tools;semantic Web technologies;World Wide Web consortium;resource description framework;hadoop distributed file system;SPARQL protocol,,,,,,,,,,IEEE,IEEE Conferences
Range Query Processing in a Multi-GPU Environment,R. J. Barrientos; J. I. Gómez; C. Tenllado; M. P. Matias; M. Marin,NA; NA; NA; NA; NA,2012 IEEE 10th International Symposium on Parallel and Distributed Processing with Applications,,2012,,,419,426,,,,10.1109/ISPA.2012.61,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6280321,Similarity search;GPU;multi-GPU;metric spaces;metric databases;range query,Graphics processing unit;Indexes;Instruction sets;Parallel processing;Measurement;Kernel,data structures;database indexing;distributed memory systems;graphics processing units;Internet;query processing;shared memory systems;very large databases,range query processing;similarity search;very large databases;offline indexed databases;online search;intrinsic parallelism;online query solving process;algorithm parallelization;distributed memory multiprocessor system;shared memory multiprocessor system;indexing structures;multiGPU metric-space technique;index data structures;brute-force strategy;database size effects;graphic processing units,,,,,,,,,,IEEE,IEEE Conferences
A novel semantics-based approach to medical literature search,Chenhao Yang; B. He,"University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China",2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,2016,,,1616,1623,,,,10.1109/BIBM.2016.7822761,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822761,,Medical diagnostic imaging;Artificial neural networks;Terminology;Distance measurement,decision support systems;electronic health records;patient care;query formulation,semantics-based approach;medical literature search;clinical decision support;medical information;patient care;CDS system;medical records;full-text biomedical articles;query reformulation;query retrieval;query reranking;classical keyword-indexing retrieval models;BM25;PL2;BB2;semantic vector representations;documents;standard text retrieval conference CDS track dataset,,,,,,,,,,IEEE,IEEE Conferences
Improving the Effectiveness of Local Context Analysis Based on Semantic Similarity,H. Liu; J. Gu; Z. Lv,NA; NA; NA,2007 International Conference on Convergence Information Technology (ICCIT 2007),,2007,,,1474,1480,,,,10.1109/ICCIT.2007.90,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4420462,,Information analysis;Information retrieval;Feedback;Educational institutions;Information technology;Computer science;Performance analysis;Degradation;Context modeling;Frequency,information retrieval;query processing,local context analysis;semantic similarity;information retrieval field;query expansion;semantic similarity metric;text retrieval conference,,,,,,,,,,IEEE,IEEE Conferences
Evaluation of spatio-temporal predicates on moving objects,M. Schneider,"Dept. of Comput. & Inf. Sci. & Eng., Florida Univ., Gainesville, FL, USA",21st International Conference on Data Engineering (ICDE'05),,2005,,,516,517,,,,10.1109/ICDE.2005.62,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1410164,,Storms;Algorithm design and analysis;Data engineering;Spatial databases;Airplanes;Information science;Engineering management;Spatiotemporal phenomena;Geometry;Vehicles,visual databases;temporal databases;process algebra;query processing;object-oriented databases,moving object database;spatial object;query processing;spatio-temporal predicate;spatio-temporal join;spatio-temporal selection;spatio-temporal algebra,,,,,,,,,,IEEE,IEEE Conferences
